Date,BND,BND,BND,BND,BND
2015-04-07,63.62902069091797,63.64426078092615,63.484274710188046,63.53760340043408,977400
2015-04-08,63.58332061767578,63.644269361142726,63.491897502475354,63.62902926907994,3470700
2015-04-09,63.446189880371094,63.59856174151042,63.38524113591536,63.59856174151042,1025400
2015-04-10,63.41572570800781,63.522383121764165,63.38525133087841,63.49952879201539,4290100
2015-04-13,63.43099594116211,63.49955896298523,63.38528144755082,63.461470332771015,6046400
2015-04-14,63.5452766418457,63.682402692365486,63.53765659046255,63.63669400885889,1398100
2015-04-15,63.6062126159668,63.67478144607698,63.583358276728575,63.651927106838755,1022400
2015-04-16,63.5909423828125,63.65950536177227,63.522373591460486,63.621416755369815,1289900
2015-04-17,63.69762420654297,63.73571863994565,63.537638048561746,63.57572666956995,1693900
2015-04-20,63.62902069091797,63.68234938116401,63.552837678050956,63.65188082593025,2463600
2015-04-21,63.55286407470703,63.62904711921664,63.50715541048001,63.59857855132777,1788000
2015-04-22,63.316688537597656,63.537623413174785,63.31668853759766,63.530003365770575,1501300
2015-04-23,63.43857955932617,63.51476840777165,63.339542193697355,63.37763661792009,5518000
2015-04-24,63.53761672973633,63.59856547777265,63.48428802830267,63.52237663653098,1597900
2015-04-27,63.49195861816406,63.568147527031236,63.44624992276191,63.568147527031236,1591400
2015-04-28,63.29383850097656,63.45382463295805,63.2785984051344,63.438584537115894,1217700
2015-04-29,63.09576416015625,63.171947209694636,63.019581110617864,63.10338420882832,1905200
2015-04-30,63.164329528808594,63.164329528808594,62.90530019963107,62.996723341527925,4229900
2015-05-01,62.972755432128906,63.07198313208452,62.91168954435764,63.01855193617556,7173200
2015-05-04,62.88109588623047,63.04902400367827,62.86583234080702,63.02612577376411,1190000
2015-05-05,62.78187561035156,62.911636144050185,62.69791154182688,62.911636144050185,4175700
2015-05-06,62.606353759765625,62.74374906876255,62.55292257424251,62.74374906876255,3938900
2015-05-07,62.73615264892578,62.781949167756444,62.65218848202591,62.66745204711431,3602900
2015-05-08,62.904056549072266,63.010918933879196,62.858254224467004,62.95748774147573,1735900
2015-05-11,62.57579803466797,62.83531915324781,62.52999573690227,62.781887992154324,929200
2015-05-12,62.49946212768555,62.613959135504786,62.400234493474066,62.476563890833646,2139600
2015-05-13,62.46893310546875,62.713196509970224,62.438406003466156,62.67502889712684,2372000
2015-05-14,62.59107971191406,62.6368761993831,62.514750291611826,62.5529120899822,1485300
2015-05-15,62.84298324584961,62.873516184127226,62.69795324492157,62.71322262584163,1402700
2015-05-18,62.61395263671875,62.789515473627645,62.606317950707286,62.789515473627645,3747700
2015-05-19,62.476585388183594,62.568184190668845,62.40789065399096,62.43842358815271,4856500
2015-05-20,62.476585388183594,62.56054950123797,62.42315420929097,62.499483632914476,4097400
2015-05-21,62.67504119873047,62.71320881906523,62.55290947250821,62.59107709284297,2314100
2015-05-22,62.636905670166016,62.65980392467421,62.52241439762504,62.636905670166016,816600
2015-05-26,62.789546966552734,62.827708768632355,62.61398404158794,62.63688228754812,1178300
2015-05-27,62.820064544677734,62.85059164945363,62.69793283133169,62.804795168729164,2564500
2015-05-28,62.827674865722656,62.88110601865137,62.78187839851486,62.84294423716452,1073300
2015-05-29,62.85057067871094,62.942169433157595,62.81240889869384,62.91163651500871,2494300
2015-06-01,62.64101028442383,62.86281675565204,62.61041568473822,62.86281675565204,1362800
2015-06-02,62.46510314941406,62.5874815684422,62.41156404992031,62.56453707370547,1510000
2015-06-03,62.18974685668945,62.3580142362799,62.120913384306014,62.35036412757401,1390000
2015-06-04,62.342716217041016,62.419199793668206,62.25858253215426,62.273876913350556,1111300
2015-06-05,62.097999572753906,62.22037219588985,62.029160231037494,62.15918296665884,4115300
2015-06-08,62.17447280883789,62.21271169422703,62.128583812240876,62.15917258642215,4954500
2015-06-09,61.99090576171875,62.10562824354096,61.96031115479129,62.10562824354096,2883300
2015-06-10,61.86086654663086,61.95265035157191,61.822627671064794,61.89146114827788,1222800
2015-06-11,62.151493072509766,62.159137344058465,61.906742170550274,61.95263114112962,1815900
2015-06-12,62.105682373046875,62.27394994014273,62.04449894119087,62.082737856684666,1785100
2015-06-15,62.11324691772461,62.2815142530009,62.097952539663886,62.2432695548666,2082900
2015-06-16,62.27391815185547,62.27391815185546,62.128601010629986,62.21272891590436,2250700
2015-06-17,62.29684829711914,62.31214852024358,62.02915274569511,62.24330918683433,865700
2015-06-18,62.25093460083008,62.28917930814252,62.105611715430435,62.23564021909893,1210300
2015-06-19,62.42688751220703,62.449832015486265,62.342753776632286,62.373348392780045,1176700
2015-06-22,62.12854766845703,62.327403761574686,62.11324745494232,62.27386468491659,1020000
2015-06-23,61.98323059082031,62.12855345613936,61.9526359962625,61.98323059082031,1096000
2015-06-24,62.097999572753906,62.12859418736941,62.01386584139278,62.0674049581384,6836900
2015-06-25,62.013824462890625,62.10560241017256,61.98322986868926,62.07501365129337,2894500
2015-06-26,61.899131774902344,61.93737649846879,61.837942551326236,61.90678188668074,963000
2015-06-29,62.212711334228516,62.258606165885055,62.01385512657542,62.09798884339983,2168400
2015-06-30,62.151493072509766,62.31976041172975,62.13619285876879,62.151493072509766,1547800
2015-07-01,62.000553131103516,62.10018108494057,61.94690641025986,61.97756251460681,5399300
2015-07-02,62.15383529663086,62.21514751271418,62.123179188589205,62.123179188589205,1060100
2015-07-06,62.368385314941406,62.414372373329904,62.245766802358425,62.414372373329904,2210700
2015-07-07,62.42972946166992,62.66730697129789,62.42972946166992,62.606000607140345,4183200
2015-07-08,62.60599136352539,62.65963807865136,62.506357573253275,62.56766977541251,1967800
2015-07-09,62.399105072021484,62.52172955677219,62.3684489508338,62.50639857264973,1670900
2015-07-10,62.10786056518555,62.199828898946116,62.03888285310128,62.092529586031105,2038300
2015-07-13,61.96221923828125,62.08484363132589,61.954553751952744,61.96988472460976,2846500
2015-07-14,62.07715606689453,62.13080275800858,62.046499979536385,62.07715606689453,1567700
